review;produto
Não posso comparar com as outras geração pois esse é meu primeiro Kindle, mas como uma pessoa que gosta muito de ler e lia muito pelo celular, o Kindle tem uma enorme diferença, meu maior medo era que os olhos doessem, o que não aconteceu. Ele é maravilhoso. Só não recebi os 90 dias de kindle unlimited!;kindle
Aparelho excelente, porém o site está com falta de capas para o aparelho, acredito ser um probleminha que incomoda para os mais perfeccionistas, um site tão grande deve se atentar a esses detalhes também não ganhei os 90 dias prometidos de kindle ulimited;kindle
Que bom que colocaram iluminação nesse novo Kindle de 10ª geração pois prefiro o design dele ao paperwhite! Agora ficou perfeito, ótimo custo benefício, é o suficiente pra quem gosta de ler a qualquer hora do dia ou da noite e em qualquer lugar!;kindle
Maravilhoso, anatômico e a luz realmente faz diferença na leitura. Não pesa as vistas. Perfeito;kindle
Amei esse kindle! Já tinha o outro, mais básico, mas a iluminação faz toda a diferença por causa da variação de luz dos ambientes externos.;kindle
É um produto que vale cada centavo! Estimula demais a leitura, é prático e super leve pra levar pra qualquer lugar.;kindle
Comprei o Kindle 10a geração acreditando que ele ia vir com os 4 GB, como a própria Amazon especifica na propaganda do produto e acreditando no que vem escrito na caixa do aparelho. E podem ter certeza de que não vêm. Me sinto extremamente enganada pela Amazon, o aparelho é lindo, comprei a cor branca por achar mais clássica e não me enganei quanto à isso, o design dele é espetacularmente lindo e bem delicado, mas quanto aos 4 GB que MENTIRA isso, paguei caro em um produto para não vir o que foi prometido. Que feio isso Amazon!!!;kindle
A bateria do meu Kindle não dura nem 3 dias. Não sei o que está acontecendo, já que o prometido era semanas. E digo isso levando em consideração que eu não utilizo nem 2 horas por dia;kindle
Eu possuía o kindle 7ª geração e vendi a fim de pegar p 10º (em função da iluminação embutida). Porém, estou amargamente arrependida. A bateria do meu anterior durava até 1 mês e meio, o 10ª geração com uma leitura de duas horas por dia (wifi desligado e iluminação no 12) dura em torno de 5 dias. Pedi troca do produto, comprei outro e pasmem! Veio da mesma forma. Eu mexo 5 minutos e a bateria já desce 5%! Aparentemente é a qualidade do aparelho que é inferior. Uma pena, sempre defendi os produtos da Amazon mas esse kindle novo deixou muuuuito a desejar. O diferencial do kindle é justamente a bateria e a desse é péssima. Mega insatisfeita.;kindle
Eu particularmente odiei, detestei o produto, eu ja tinha um iPad Pro e um Mini iPad, e resolvi comprar o Kindle, que erro que eu cometi!!! O processador dele é extremamente lento, existe um delay para os comandos em touch, uma porcaria! Arrependido!!!;kindle
Desde a época que comprei meu primeiro Kindle, há aproximadamente 4 anos eu fiquei impressionado com a qualidade dos produtos Amazon e o Echo Dot faz jus ao nome. A qualidade da caixa sonora é impecável, não cheguei a usar no máximo com certo receio de perturbar os vizinhos (moro em apartamento), a Alexa responde de forma rápida aos comandos, apesar de ainda cometer alguns erros. Com a prática tem-se a perfeição. O usuário também precisa aprender a como se comunicar com a Alexa e sempre reportar os possíveis erros de comunicação pro aperfeiçoamento do sistema. Creio que a Alexa veio pra ficar e com esse dispositivo de alta qualidade como o Echo Dot, é possível utilizar a assistente ao máximo. Recomendo.;kindle
Poderia dar uma nota maior, mas não funciona para tudo o que promete. O app Alexa não importa todos os contatos do telefone e assim não consigo usar para ligações. Se você não desembolsar para comprar caríssimos devices de lâmpada e tomada, o Echo acaba não servindo pra nada. Só serve para dizer tempo, hora e tocar música.;echodot
Aparelho veio com defeito, frustrante. Muita demora para resolver. Penso em devolver se não trocarem;echodot
O echo dot é super prático, fácil de configurar, é perfeito para quem quer uma smart home.;echodot
Além de todas as funcionalidades que eu já esperava, como controlar a luz, criar alarmes e lembretes, tocar música no Spotify, entre outras, tive a surpresa de descobrir que ela lê meus ebooks do Kindle em voz alta e com uma entonação incrível (sem parecer artificial). As skills são um show a parte - minhas preferidas são a do Cinemark, Turma da Mônica e sons relaxantes (ampla variedade). Não testei ainda as skills do Uber e iFood.;echodot
Acho que a propaganda desse produto está sendo feita de forma errada hora nenhuma ele dá a impressão de que você precisa manter ele ligado em uma tomada para funcionar, vejam as fotos a forma de divulgação da impressão de ser algo com bateria que vc carrega pra cima e pra baixo, é bem chato isso. Apesar de não estar escrito sobre bateria no anúncio você tem essa impressão. O aparelho é bom, funciona tudo que promete mas fiquei bem chateado ao perceber que não existe o recurso de bateria e acho que deveria ficar bem explicita essa informação, decepção é o que define o que sinto.;echodot
Muito boa. Ela tem design e dimensões bem discretas, serve para colocar em qualquer cômodo da cada sem medo de estragar a decoração ou algo do tipo (muito pelo contrário, ela combina com tudo!). A qualidade de som, comparado ao porte dela, é muito boa. Só calibrei um pouco os graves, para não ficar tão agudo e lá estava o som com uma qualidade bem legal. Volume suficiente para curtir um som sem incomodar vizinhos e afins, desde que seja ambiente interno (é claramente o foco dessa caixa, dado o porte). Os microfones tem um ótimo alcance e a Alexa funciona muito bem. Recomendo!;echodot
Comprei uma lâmpada Yeeligth que é compatível com a Alexa, porem não tem SKILL liberada para português e não consigo instalar skill de outra lingua. Não me importo em falar em inglês para acender a lampada, mais fico puto de comprar uma lampada e não poder usar por causa da Alexa. Decepcionado....;echodot
Echo Dot limita diversos acessos do cliente. Por exemplo. Peço para tocar notícias da Jovem Pan e ela só atende notícias da CBN. Ou seja, a forma de atualização é obrigatoriamente por uma empresa do sistema Globo de Comunicação. Não toca Podcasts das diversas plataformas. Não reconhece a formatação de playlist fora da Amazon Music. Em suma. Caso você queira um tocador de música cheio de limitações acionado por voz, e que querhe obrigar a dar audiência informações da Globo, eis um bom produto. Caso você queira liberdade para ouvir e se informar onde deseja, não recomendo.;echodot
Decepcionado, Alexa não entende meus comandos, não tem integração com YouTube music, apesar de seu ser prime eu não consigo usar o Amazon music, penso inclusive em devolver.Decepcionado, Alexa não entende meus comandos, não tem integração com YouTube music, apesar de seu ser prime eu não consigo usar o Amazon music, penso inclusive em devolver.;echodot
Muito bom. Só podia funcionar juntamente com o Fire Stick e melhorar a função de escolha de playlist no Spotify (não reconhece e não coloca as músicas no aleatório), mas no geral é ok.;echodot
Recomendo esse livro para todos aqueles que querem "virar a chave" e começar a agir. Não é aqueles livros de autoajuda chatos que ficam dando fórmulas mágicas. É um livro para auto reflexão, especialmente pelos exemplos apresentados. Apresenta fundamentos científicos que explicam com bastante propriedade acerca do assunto.;livro
Li em torno de 5 livros sobre a procrastinação e este foi o mais completo dentro desta proposta. Recomendo !;livro
Adorei o livro, simples e direto. Foi indicação da minha Pisicologa e me ajudou muito, pois sou procrastinadora. Indico para todas as pessoas que têm dificuldades de planejar e executar.;livro
Livro excelente, não só escreve os sintomas e ações dos procrastinadores com oferece várias técnicas e procedimentos para superar este problema.;livro
Recomendo a leitura para aqueles que têm o hábito de deixar para depois aquilo que deve ser feito. Irão se sentir muito melhores e sem o sentimento de culpa usual nos procrastinadores, se conseguirem reduzir/eliminar este hábito.;livro
O que mais me chamou a atenção no livro foi a explicação dos fenômenos da procrastinação baseados na ciência. Com explicações fáceis de entender, a autora parte da realidade em busca de soluções que atendam aos problemas em questão. Muito bom!;livro
É um bom livro. Baseado em vários estudos científicos. Contém informações que nos faz entender o comportamento do cérebro quando tarefas são procrastinadas.;livro
O livro sintetiza boa parte das ideias que sugere, trazendo boas fontes e referências. Mas há deslizes de revisão muito graves. O discurso dos últimos parágrafos, num mote “deixe de ser perdedor”, contrasta com os valores anti-palestra motivacional. E, salvo engano, não há maiores informações sobre a autoria - o que nos leva a pensar em um pseudônimo. Isso também enfraquece o trabalho.;livro
O livro eh uma confusão de informações, mal estruturado, desorganizado. Da algumas linhas gerais sobre o assunto, mas precisaria melhorar muito para ganhar mais algumas estrelas.;livro
Sério, os cachorros ficam meio enlouquecidos querendo mais, adoraram.;petisco_cachorro
Meu cachorro adorou, estou usando como recompensa pra aprender a usar um tapete higiênico e tem dado certo por enquanto! Recomendo bastante tanto para raças pequenas como grandes;petisco_cachorro
Minhas cachorras amaram, entregou super rápido, só que vieram muitos quebrados.;petisco_cachorro
Pratico e durável, minha cadela ama! Perfeito para levar como petisco durante uma caminhada ou passeio!;petisco_cachorro
Excelente biscoito, meu cachorro adorou. E pelo preço que paguei, saiu bem em conta. Recomendo;petisco_cachorro