Date,Close
1/2/2019,24.06
1/3/2019,24.65
1/4/2019,24.72
1/7/2019,25.11
1/8/2019,24.96
1/9/2019,25.48
1/10/2019,25.26
1/11/2019,24.99
1/14/2019,24.85
1/15/2019,24.83
1/16/2019,24.82
1/17/2019,25.16
1/18/2019,25.4
1/21/2019,25.53
1/22/2019,25.13
1/23/2019,25.43
1/24/2019,25.54
1/28/2019,24.77
1/29/2019,25.37
1/30/2019,25.62
1/31/2019,25.58
2/1/2019,25.8
2/4/2019,26.03
2/5/2019,26.08
2/6/2019,25.49
2/7/2019,25.09
2/8/2019,25.13
2/11/2019,24.84
2/12/2019,25.72
2/13/2019,26.05
2/14/2019,26.95
2/15/2019,26.84
2/18/2019,26.76
2/19/2019,27.38
2/20/2019,27.04
2/21/2019,27.4
2/22/2019,27.13
2/25/2019,26.7
2/26/2019,26.58
2/27/2019,27.08
2/28/2019,27.06
3/1/2019,26.7
3/6/2019,26.76
3/7/2019,26.77
3/8/2019,26.67
3/11/2019,27.75
3/12/2019,27.5
3/13/2019,28.1
3/14/2019,28.19
3/15/2019,28.25
3/18/2019,28.74
3/19/2019,29.2
3/20/2019,28.97
3/21/2019,28.56
3/22/2019,27
3/25/2019,27.34
3/26/2019,28.63
3/27/2019,27.34
3/28/2019,28.06
3/29/2019,28.06
4/1/2019,28
4/2/2019,28.29
4/3/2019,27.54
4/4/2019,28.47
4/5/2019,28.78
4/8/2019,29.25
4/9/2019,29.16
4/10/2019,28.78
4/11/2019,28
4/12/2019,25.83
4/15/2019,25.93
4/16/2019,26.72
4/17/2019,26.75
4/18/2019,27.6
4/22/2019,27.44
4/23/2019,27.68
4/24/2019,27.6
4/25/2019,27.8
4/26/2019,27.25
4/29/2019,27.37
4/30/2019,27.11
5/2/2019,26.73
5/3/2019,26.85
5/6/2019,26.77
5/7/2019,26.35
5/8/2019,27.37
5/9/2019,26.83
5/10/2019,26.68
5/13/2019,25.9
5/14/2019,26
5/15/2019,25.88
5/16/2019,25.27
5/17/2019,24.68
5/20/2019,25.52
5/21/2019,26.49
5/22/2019,26.29
5/23/2019,25.84
5/24/2019,26.09
5/27/2019,26.24
5/28/2019,26.8
5/29/2019,26.5
5/30/2019,26.15
5/31/2019,25.55
6/3/2019,25.99
6/4/2019,26.2
6/5/2019,25.86
6/6/2019,26.28
6/7/2019,26.76
6/10/2019,26.65
6/11/2019,27.16
6/12/2019,26.85
6/13/2019,27.18
6/14/2019,27.06
6/17/2019,27.11
6/18/2019,27.45
6/19/2019,27.52
6/21/2019,28.28
6/24/2019,28.25
6/25/2019,27.51
6/26/2019,27.67
6/27/2019,27.23
6/28/2019,27.41
7/1/2019,27.26
7/2/2019,26.82
7/3/2019,27.13
7/4/2019,27.39
7/5/2019,27.4
7/8/2019,27.65
7/10/2019,28.07
7/11/2019,28.4
7/12/2019,28.53
7/15/2019,28.18
7/16/2019,27.83
7/17/2019,27.68
7/18/2019,27.51
7/19/2019,27.44
7/22/2019,27.49
7/23/2019,27.52
7/24/2019,27.35
7/25/2019,26.89
7/26/2019,26.14
7/29/2019,26.38
7/30/2019,26.24
7/31/2019,26.08
8/1/2019,26.25
8/2/2019,26.52
8/5/2019,25.55
8/6/2019,25.88
8/7/2019,25.6
8/8/2019,26.35
8/9/2019,26.28
8/12/2019,25.65
8/13/2019,25.79
8/14/2019,24.92
8/15/2019,24.23
8/16/2019,23.91
8/19/2019,24.03
8/20/2019,24.02
8/21/2019,25.45
8/22/2019,25.22
8/23/2019,24.28
8/26/2019,23.96
8/27/2019,24.34
8/28/2019,24.59
8/29/2019,25.5
8/30/2019,25.5
9/2/2019,25.3
9/3/2019,25.6
9/4/2019,26.26
9/5/2019,26.39
9/6/2019,26.52
9/9/2019,26.93
9/10/2019,27.1
9/11/2019,26.87
9/12/2019,27.06
9/13/2019,26.88
9/16/2019,28.06
9/17/2019,27.69
9/18/2019,27.22
9/19/2019,27.29
9/20/2019,27
9/23/2019,27.48
9/24/2019,27.27
9/25/2019,27.34
9/26/2019,27.7
9/27/2019,27.66
9/30/2019,27.55
10/1/2019,27.51
10/2/2019,26.72
10/3/2019,26.74
10/4/2019,26.51
10/7/2019,26.17
10/8/2019,26.02
10/9/2019,26.52
10/10/2019,26.74
10/11/2019,27.26
10/14/2019,27.31
10/15/2019,27.6
10/16/2019,27.93
10/17/2019,27.66
10/18/2019,27.6
10/21/2019,27.77
10/22/2019,28.57
10/23/2019,28.95
10/24/2019,28.32
10/25/2019,29.25
10/28/2019,29.6
10/29/2019,29.82
10/30/2019,30.08
10/31/2019,30.39
11/1/2019,30.43
11/4/2019,30.36
11/5/2019,29.65
11/6/2019,29.71
11/7/2019,30.9
11/8/2019,30.02
11/11/2019,30.45
11/12/2019,30.02
11/13/2019,29.9
11/14/2019,29.3
11/18/2019,29.08
11/19/2019,28.78
11/21/2019,29.85
11/22/2019,29.98
11/25/2019,29.73
11/26/2019,29.19
11/27/2019,29.33
11/28/2019,29.53
11/29/2019,29.15
12/2/2019,29.07
12/3/2019,28.98
12/4/2019,29.66
12/5/2019,30.05
12/6/2019,30.35
12/9/2019,30.21
12/10/2019,30.44
12/11/2019,30.4
12/12/2019,30.97
12/13/2019,29.98
12/16/2019,29.41
12/17/2019,29.85
12/18/2019,30.54
12/19/2019,30.61
12/20/2019,30.26
12/23/2019,30.5
12/26/2019,30.91
12/27/2019,30.52
12/30/2019,30.18
1/2/2020,30.7
1/3/2020,30.45
1/6/2020,30.81
1/7/2020,30.69
1/8/2020,30.5
1/9/2020,30.4
1/10/2020,30.27
1/13/2020,30.33
1/14/2020,30
1/15/2020,29.55
1/16/2020,29.52
1/17/2020,29.85
1/20/2020,30
1/21/2020,29.62
1/22/2020,29.29
1/23/2020,29.65
1/24/2020,29.3
1/27/2020,28.03
1/28/2020,28.8
1/29/2020,28.85
1/30/2020,28.94
1/31/2020,28.45
2/3/2020,28.18
2/4/2020,28.63
2/5/2020,28.39
2/6/2020,29.18
2/7/2020,28.93
2/10/2020,29.13
2/11/2020,29.48
2/12/2020,30.13
2/13/2020,29.72
2/14/2020,29.42
2/17/2020,29.36
2/18/2020,29.75
2/19/2020,30.55
2/20/2020,29.92
2/21/2020,29.14
2/26/2020,26.21
2/27/2020,25.3
2/28/2020,25.34