raclogico.i,abstracao.i,racmath.i,stats.i,anadados.i,anagraf.i,anapreditiva.i,ferramentavisual.i,semestre,turma,entrada,matricula,raclogico.f,abstracao.f,racmath.f,stats.f,anadados.f,anagraf.f,anapreditiva.f,ferramentavisual.f
4,4,4,4,4,3,4,2,20.1,PMLEC201,EC201,EC201160,4,4,4,4,3,3,3,3
4,4,4,4,4,3,4,2,20.1,PMLEC201,EC201,EC201206,4,4,4,4,3,3,3,3
4,4,4,4,4,3,4,2,20.1,PMLEC201,EC201,EC201125,4,4,4,4,3,3,3,3
4,4,4,4,4,3,4,2,20.1,PMLEC201,EC201,EC20168,4,4,4,4,3,4,3,5
5,4,4,4,4,3,4,2,20.1,PMLEC201,EC201,EC201202,4,4,4,4,3,3,3,3
5,4,4,4,4,3,4,2,20.1,PMLEC201,EC201,EC201241,4,4,4,4,3,3,3,3
5,4,4,4,4,3,4,2,20.1,PMLEC201,EC201,EC20146,4,4,4,4,3,3,3,3
5,4,4,4,4,3,4,2,20.1,PMLEC201,EC201,EC201161,4,4,4,4,3,3,3,3
5,4,4,4,4,3,4,2,20.1,PMLEC201,EC201,EC20146,4,4,4,4,3,3,3,3
5,5,4,4,4,3,4,2,20.1,PMLEC201,EC201,EC201168,5,3,4,4,2,2,2,4
5,5,5,4,4,3,4,2,20.1,PMLEC201,EC201,EC201254,5,3,5,4,3,3,2,3
4,5,4,4,4,5,4,2,20.1,PMLAD201,AD201,AD20159,4,4,4,4,3,3,3,3
4,5,4,4,4,5,4,2,20.1,PMLAD201,AD201,AD201104,4,4,4,4,3,3,3,3
4,5,4,4,4,5,4,2,20.1,PMLAD201,AD201,AD201105,4,4,4,4,3,3,3,3
4,5,4,4,4,5,4,2,20.1,PMLAD201,AD201,AD201189,4,4,4,4,3,3,3,3
4,5,4,4,4,4,4,2,20.1,PMLAD201,AD201,AD20182,4,4,4,4,3,4,3,5
4,5,4,4,4,5,4,2,20.1,PMLAD201,AD201,AD201111,4,4,4,4,3,3,3,3
4,5,4,4,4,5,4,2,20.1,PMLAD201,AD201,AD201174,4,4,4,4,3,3,3,3
4,5,4,4,4,5,4,2,20.1,PMLAD201,AD201,AD20112,4,4,4,4,3,3,3,3
4,5,4,4,4,5,4,3,20.2,PMLEC202,EC202,EC202106,4,4,4,4,3,3,3,3
4,5,4,4,4,5,4,3,20.2,PMLEC202,EC202,EC202189,4,4,4,4,3,3,3,3
5,5,5,5,4,5,4,3,20.2,PMLEC202,EC202,EC20220,5,3,5,3,3,3,2,3
5,5,4,4,4,5,4,3,20.2,PMLEC202,EC202,EC202160,4,4,4,4,3,3,3,3
5,4,4,4,4,5,4,3,20.2,PMLEC202,EC202,EC202256,4,4,4,4,3,3,3,3
5,4,4,4,4,5,4,3,20.2,PMLEC202,EC202,EC202128,4,4,4,4,3,3,3,3
5,5,4,4,4,4,4,3,20.2,PMLEC202,EC202,EC20242,4,3,4,4,2,4,2,5
5,5,4,5,4,5,4,3,20.2,PMLEC202,EC202,EC202118,5,3,4,3,3,3,2,3
5,5,4,5,5,5,4,3,20.2,PMLEC202,EC202,EC202199,5,3,4,3,3,3,2,3
5,5,5,5,5,5,4,3,20.2,PMLEC202,EC202,EC20265,5,3,5,3,3,3,2,3
5,4,4,4,5,5,4,3,20.2,PMLEC202,EC202,EC202205,4,4,4,4,3,3,3,3
5,4,4,4,5,5,4,3,20.2,PMLEC202,EC202,EC202212,4,4,4,4,3,3,3,3
5,4,4,4,5,5,4,3,20.2,PMLAD202,AD202,AD2021,4,4,4,4,3,3,3,3
5,5,4,4,5,5,4,3,20.2,PMLAD202,AD202,AD2024,5,3,4,4,3,3,2,3
5,5,4,4,5,5,4,3,20.2,PMLAD202,AD202,AD20212,4,4,4,4,3,3,3,3
5,5,5,5,5,5,4,3,20.2,PMLAD202,AD202,AD20259,5,3,5,3,3,3,2,3
4,5,4,4,5,5,4,3,20.2,PMLAD202,AD202,AD20287,4,4,4,4,3,3,3,3
5,5,4,4,4,5,4,3,20.2,PMLAD202,AD202,AD202206,5,3,4,4,3,3,2,3
4,5,4,4,4,3,4,3,20.2,PMLAD202,AD202,AD202296,4,4,4,4,3,3,3,3
4,5,4,4,4,3,4,3,20.2,PMLAD202,AD202,AD20240,4,4,4,4,3,3,3,3
4,5,4,4,4,3,4,3,20.2,PMLAD202,AD202,AD202257,4,4,4,4,3,3,3,3
5,5,5,5,4,3,4,3,20.2,PMLAD202,AD202,AD20225,5,3,5,3,3,3,2,3
4,5,4,4,4,3,4,3,20.2,PMLAD202,AD202,AD202174,4,4,4,4,3,3,3,3
5,5,5,4,4,3,4,3,20.2,PMLAD202,AD202,AD202198,5,3,5,4,3,3,2,3
5,5,5,4,4,3,4,3,20.2,PMLAD202,AD202,AD202194,5,3,4,3,3,3,2,3
4,5,4,4,4,3,4,3,20.2,PMLAD202,AD202,AD20299,4,4,4,4,3,3,3,3
4,5,4,4,4,3,4,3,20.2,PMLAD202,AD202,AD202116,4,4,4,4,3,3,3,3
4,5,4,4,4,3,4,3,20.2,PMLAD202,AD202,AD202124,4,4,4,4,3,3,3,5
4,5,4,4,4,3,4,3,20.2,PMLAD202,AD202,AD20260,4,4,4,4,3,3,3,3
4,5,4,4,4,3,4,3,20.2,PMLAD202,AD202,AD202121,4,4,4,4,3,3,3,3
4,5,4,4,4,3,4,3,21.1,PMLEC211,EC211,EC211156,4,4,4,4,3,3,3,3
4,5,4,4,4,3,4,5,21.1,PMLEC211,EC211,EC211150,4,4,4,4,3,3,3,3
5,5,5,4,4,3,4,5,21.1,PMLEC211,EC211,EC21166,5,3,5,4,3,3,2,3
4,4,4,4,4,3,4,5,21.1,PMLEC211,EC211,EC211274,4,4,4,4,3,5,3,5
4,4,4,4,4,3,4,2,21.1,PMLEC211,EC211,EC21151,4,4,4,4,3,3,3,3
4,4,4,4,4,3,4,2,21.1,PMLEC211,EC211,EC211142,4,4,4,4,3,3,2,3
4,4,4,4,4,3,4,2,21.1,PMLEC211,EC211,EC211226,4,4,4,4,3,3,3,5
4,4,4,4,4,5,4,2,21.1,PMLEC211,EC211,EC21151,4,4,4,4,3,3,3,3
5,5,4,5,4,5,4,2,21.1,PMLEC211,EC211,EC211181,5,3,4,3,3,3,2,3
4,4,4,4,4,5,4,2,21.1,PMLEC211,EC211,EC211241,4,4,4,4,3,3,2,3
4,5,4,4,4,5,4,2,21.1,PMLEC211,EC211,EC211241,4,4,4,4,3,3,2,3
4,5,4,4,4,3,4,3,21.1,PMLEC211,EC211,EC211102,4,4,4,4,3,3,3,5
4,5,4,4,4,3,4,3,21.1,PMLEC211,EC211,EC21146,4,4,4,4,3,3,3,3
4,5,4,4,4,3,4,3,21.1,PMLEC211,EC211,EC211289,4,4,4,4,3,3,3,3
4,5,4,4,4,3,4,3,21.1,PMLEC211,EC211,EC21172,4,4,4,4,3,3,3,3
4,5,4,4,4,3,4,3,21.1,PMLEC211,EC211,EC211158,4,4,4,4,3,3,3,3
5,5,5,4,4,3,4,3,21.1,PMLEC211,EC211,EC21177,5,3,5,4,3,3,2,3
4,5,4,4,4,3,4,5,21.1,PMLEC211,EC211,EC211184,4,4,4,4,3,3,3,3
4,5,4,4,4,3,4,5,21.1,PMLEC211,EC211,EC211161,4,3,4,4,2,3,2,5
4,5,4,4,4,3,4,5,21.1,PMLAD211,AD211,AD21181,4,4,4,4,3,3,3,3
4,5,4,4,4,3,4,4,21.1,PMLAD211,AD211,AD211174,4,4,4,4,3,3,3,3
4,5,4,4,4,3,4,4,21.1,PMLAD211,AD211,AD211202,4,4,4,4,3,3,3,3
4,5,4,4,4,3,4,4,21.1,PMLAD211,AD211,AD211207,4,4,4,4,3,3,3,3
5,5,4,5,4,3,4,4,21.1,PMLAD211,AD211,AD211128,5,3,4,3,3,3,2,3
4,5,4,4,4,3,4,4,21.1,PMLAD211,AD211,AD211174,4,4,4,4,3,3,3,3
5,5,5,5,4,3,4,4,21.1,PMLAD211,AD211,AD211180,5,3,5,3,3,3,2,3
4,5,4,4,4,3,4,4,21.1,PMLAD211,AD211,AD211214,4,4,4,4,3,3,3,3
5,5,4,4,4,3,4,4,21.1,PMLAD211,AD211,AD211154,5,3,4,4,2,3,2,5
4,5,4,4,4,5,4,4,21.1,PMLAD211,AD211,AD211190,4,4,4,4,3,3,3,3
4,5,4,4,5,5,4,4,21.1,PMLAD211,AD211,AD211252,4,4,4,4,3,3,3,3
5,5,4,4,2,2,4,4,21.1,PMLAD211,AD211,AD211262,5,3,4,4,2,2,2,5
4,5,4,4,5,5,5,4,21.1,PMLAD211,AD211,AD211100,4,4,4,4,3,3,3,3
5,5,4,5,5,5,2,4,21.1,PMLAD211,AD211,AD21142,5,3,4,3,3,3,2,3
4,5,4,4,5,5,2,4,21.1,PMLAD211,AD211,AD211106,4,4,4,4,3,3,2,3
4,5,4,4,5,5,5,4,21.1,PMLAD211,AD211,AD211256,4,4,4,4,3,3,3,3
5,5,5,5,5,5,2,4,21.1,PMLAD211,AD211,AD211225,5,3,5,3,3,3,2,3
4,5,4,4,5,5,5,4,21.1,PMLAD211,AD211,AD21148,4,4,4,4,3,3,3,3
4,4,4,4,5,5,2,4,21.1,PMLAD211,AD211,AD211174,4,4,4,4,3,3,3,3
5,5,5,5,5,5,2,4,21.1,PMLAD211,AD211,AD211287,5,3,5,3,3,3,2,3
4,4,4,4,5,5,5,4,21.1,PMLAD211,AD211,AD211176,4,4,4,4,3,3,3,3
4,4,4,4,5,5,5,4,21.1,PMLAD211,AD211,AD211278,4,4,4,4,3,3,3,3
5,5,5,5,5,5,2,4,21.1,PMLAD211,AD211,AD21128,5,3,5,3,3,3,2,3
5,5,5,4,5,5,2,4,21.1,PMLAD211,AD211,AD211112,5,3,5,4,3,3,2,3
4,4,4,4,5,5,5,4,21.1,PMLAD211,AD211,AD211172,4,4,4,4,3,3,3,3
5,5,4,5,5,5,2,4,21.1,PMLAD211,AD211,AD21178,5,3,4,3,3,3,2,3
5,5,4,5,5,5,2,4,21.1,PMLAD211,AD211,AD211225,5,3,5,3,3,3,2,3
4,5,4,4,5,5,5,4,21.1,PMLAD211,AD211,AD21179,4,4,4,4,3,3,3,3
4,5,4,4,5,5,5,4,21.2,PMLEC212,EC212,EC212146,4,4,4,4,3,3,3,3
4,5,4,4,5,5,5,4,21.2,PMLEC212,EC212,EC21289,4,4,4,4,3,3,3,3
5,5,4,4,2,2,2,4,21.2,PMLEC212,EC212,EC212282,5,3,4,4,2,2,2,5
4,5,4,4,5,5,5,4,21.2,PMLEC212,EC212,EC212295,4,4,4,4,3,3,3,3
4,5,4,4,2,5,2,4,21.2,PMLEC212,EC212,EC212195,4,3,4,4,2,3,2,5
4,5,4,4,5,5,5,4,21.2,PMLEC212,EC212,EC212156,4,4,4,4,3,3,3,3
4,5,4,4,5,5,5,4,21.2,PMLEC212,EC212,EC212147,4,4,4,4,3,3,3,3
5,5,4,4,2,2,2,4,21.2,PMLEC212,EC212,EC21280,5,3,4,4,2,2,2,5
4,5,4,4,4,4,5,4,21.2,PMLEC212,EC212,EC212209,4,4,4,4,3,4,3,5
5,5,4,4,4,5,2,4,21.2,PMLEC212,EC212,EC212124,5,3,4,4,3,3,2,3
4,5,4,4,4,5,5,4,21.2,PMLEC212,EC212,EC212141,4,4,4,4,3,3,3,3
4,5,4,4,4,5,2,4,21.2,PMLEC212,EC212,EC212205,4,4,4,4,3,3,2,3
4,5,4,4,4,5,2,4,21.2,PMLEC212,EC212,EC212241,4,4,4,4,3,3,2,3
5,5,4,5,4,5,2,4,21.2,PMLEC212,EC212,EC21242,5,3,4,3,3,3,2,3
4,5,4,4,4,5,5,4,21.2,PMLEC212,EC212,EC21281,4,4,4,4,3,3,3,5
4,5,4,4,4,5,5,4,21.2,PMLEC212,EC212,EC21276,4,4,4,4,3,3,3,3
4,5,4,4,4,5,5,4,21.2,PMLEC212,EC212,EC212207,4,4,4,4,3,3,3,3
5,5,5,5,4,5,2,4,21.2,PMLEC212,EC212,EC212222,5,3,5,3,3,3,2,3
4,4,4,4,4,5,5,4,21.2,PMLEC212,EC212,EC212212,4,4,4,4,3,3,3,5
5,5,4,4,4,5,2,4,21.2,PMLEC212,EC212,EC212141,4,4,4,4,3,3,3,3
4,4,4,4,4,5,2,4,21.2,PMLEC212,EC212,EC212295,4,4,4,4,3,3,3,3
4,4,4,4,4,5,5,4,21.2,PMLEC212,EC212,EC21229,4,4,4,4,3,3,3,3
5,5,5,5,4,5,2,4,21.2,PMLEC212,EC212,EC212146,4,4,4,4,3,3,3,3
4,4,4,4,4,5,5,4,21.2,PMLEC212,EC212,EC212118,4,4,4,4,3,5,3,5
4,4,4,4,4,5,5,4,21.2,PMLEC212,EC212,EC212120,4,4,4,4,3,3,3,3
5,5,4,4,4,5,2,4,21.2,PMLEC212,EC212,EC212147,4,4,4,4,3,3,3,3
5,5,4,4,4,5,2,4,21.2,PMLEC212,EC212,EC212156,4,4,4,4,3,3,3,3
5,5,4,5,3,5,2,4,21.2,PMLEC212,EC212,EC212167,5,3,4,3,3,3,2,3
5,5,5,5,3,5,2,4,21.2,PMLEC212,EC212,EC212166,5,3,5,3,3,3,2,3
4,4,4,4,3,5,5,4,21.2,PMLEC212,EC212,EC212166,5,3,5,3,3,3,2,3
4,4,4,4,3,5,5,4,21.2,PMLEC212,EC212,EC212187,4,4,4,4,3,3,3,3
4,4,4,4,3,5,5,4,21.2,PMLEC212,EC212,EC212241,4,4,4,4,3,3,2,3
4,4,4,4,3,5,5,4,21.2,PMLEC212,EC212,EC2124,4,4,4,4,3,3,3,3
4,4,4,4,3,5,5,4,21.2,PMLEC212,EC212,EC21269,4,4,4,4,3,3,3,3
4,4,4,4,3,5,5,4,21.2,PMLAD212,AD212,AD212198,4,4,4,4,3,3,3,3
4,4,4,4,3,4,5,4,21.2,PMLAD212,AD212,AD212175,4,4,4,4,3,4,3,5
4,4,4,4,3,5,5,4,21.2,PMLAD212,AD212,AD212296,4,4,4,4,3,3,3,3
4,4,4,4,3,5,5,4,21.2,PMLAD212,AD212,AD212199,4,4,4,4,3,3,3,3
4,4,4,4,3,5,5,4,21.2,PMLAD212,AD212,AD212259,4,4,4,4,3,3,3,3
4,4,4,4,3,4,5,4,21.2,PMLAD212,AD212,AD212192,4,4,4,4,3,4,3,5
4,4,4,4,3,5,5,4,21.2,PMLAD212,AD212,AD212257,4,4,4,4,3,3,3,3
4,4,4,4,3,5,2,4,21.2,PMLAD212,AD212,AD212116,4,4,4,4,3,3,2,3
5,5,4,4,3,5,2,4,21.2,PMLAD212,AD212,AD212106,5,3,4,4,2,3,2,5
5,5,5,5,3,5,2,4,21.2,PMLAD212,AD212,AD212118,5,3,5,3,3,3,2,3
5,5,4,5,3,5,2,4,21.2,PMLAD212,AD212,AD212217,5,3,4,3,3,3,2,3
5,5,5,5,3,5,2,4,21.2,PMLAD212,AD212,AD212196,5,3,5,3,3,3,2,3
5,5,5,5,3,5,2,4,21.2,PMLAD212,AD212,AD212241,5,3,5,3,3,3,2,3
5,5,4,5,5,5,2,4,21.2,PMLAD212,AD212,AD212262,5,3,4,3,3,3,2,3
4,5,4,4,2,4,2,4,21.2,PMLAD212,AD212,AD212140,4,3,4,4,2,4,2,5
4,4,4,4,5,5,5,4,21.2,PMLAD212,AD212,AD212210,4,4,4,4,3,3,3,3
5,5,4,4,5,5,2,4,21.2,PMLAD212,AD212,AD212207,5,3,4,4,3,3,2,3
5,4,4,4,4,5,5,4,21.2,PMLAD212,AD212,AD212217,5,3,4,3,3,3,2,3
5,4,4,4,4,5,5,4,21.2,PMLAD212,AD212,AD21262,4,4,4,4,3,3,3,3
5,4,4,4,4,5,5,4,21.2,PMLAD212,AD212,AD212256,4,4,4,4,3,3,3,3
5,5,4,4,4,5,2,4,21.2,PMLAD212,AD212,AD212250,5,3,4,4,3,3,2,3
5,4,4,4,4,5,5,5,21.2,PMLAD212,AD212,AD212114,4,4,4,4,3,3,3,3
5,4,4,4,4,5,5,5,21.2,PMLAD212,AD212,AD212129,4,4,4,4,3,3,3,3
5,4,4,4,4,5,5,5,21.2,PMLAD212,AD212,AD212108,4,4,4,4,3,3,3,3
5,5,5,4,4,5,2,5,22.1,PMLEC221,EC221,EC221126,5,3,5,4,3,3,2,3
5,5,5,5,4,5,2,4,22.1,PMLEC221,EC221,EC221115,5,3,5,3,3,3,2,3
5,4,4,4,4,5,5,4,22.1,PMLEC221,EC221,EC221221,4,4,4,4,3,3,3,3
5,4,4,4,4,5,5,4,22.1,PMLEC221,EC221,EC221194,4,4,4,4,3,3,3,3
5,4,4,4,4,5,5,4,22.1,PMLEC221,EC221,EC221160,4,4,4,4,3,3,3,3
5,5,4,5,4,5,2,4,22.1,PMLEC221,EC221,EC221198,5,3,4,3,3,3,2,3
5,4,4,4,4,3,5,4,22.1,PMLEC221,EC221,EC22118,4,4,4,4,3,3,3,3
5,4,4,4,4,3,5,4,22.1,PMLEC221,EC221,EC221146,4,4,4,4,3,3,3,3
5,4,4,4,4,3,5,4,22.1,PMLEC221,EC221,EC22146,4,4,4,4,3,3,3,3
5,4,4,4,4,3,5,4,22.1,PMLEC221,EC221,EC221146,4,4,4,4,3,3,3,3
5,4,4,4,4,3,5,4,22.1,PMLEC221,EC221,EC221191,4,4,4,4,3,3,3,3
5,4,4,4,4,3,5,4,22.1,PMLEC221,EC221,EC221115,5,3,5,3,3,3,2,3
5,4,4,4,4,3,5,4,22.1,PMLEC221,EC221,EC221116,4,4,4,4,3,3,3,5
5,4,4,4,4,3,5,4,22.1,PMLEC221,EC221,EC221192,4,4,4,4,3,3,3,3
5,4,4,4,4,3,5,4,22.1,PMLEC221,EC221,EC22146,4,4,4,4,3,3,3,3
5,5,4,4,4,3,2,4,22.1,PMLAD221,AD221,AD221296,5,3,4,4,3,3,2,3
5,4,4,4,4,3,5,4,22.1,PMLAD221,AD221,AD22199,4,4,4,4,3,3,3,3
5,5,4,5,4,3,2,4,22.1,PMLAD221,AD221,AD221276,5,3,4,3,3,3,2,3
5,5,4,4,4,3,2,4,22.1,PMLAD221,AD221,AD221252,5,3,4,4,3,3,2,3
5,5,4,4,4,3,5,4,22.1,PMLAD221,AD221,AD221185,4,4,4,4,3,3,3,5
5,4,4,4,4,3,5,4,22.1,PMLAD221,AD221,AD221287,4,4,4,4,3,3,3,3
5,5,5,4,4,3,2,4,22.1,PMLAD221,AD221,AD221242,5,3,5,4,3,3,2,3
5,4,4,4,4,3,2,4,22.1,PMLAD221,AD221,AD221180,4,4,4,4,3,3,2,3
5,4,4,4,4,3,5,4,22.1,PMLAD221,AD221,AD22155,4,4,4,4,3,5,3,5
5,5,4,4,4,3,2,4,22.1,PMLAD221,AD221,AD221196,5,3,4,4,3,3,2,3
5,5,4,4,4,3,2,3,22.1,PMLAD221,AD221,AD221166,5,3,4,4,3,3,2,3
5,4,4,4,4,3,5,3,22.1,PMLAD221,AD221,AD22176,4,4,4,4,3,3,3,3
5,5,4,4,4,3,2,3,22.1,PMLAD221,AD221,AD221210,5,3,4,4,3,3,2,3